x-axis,1,2,3
second,Volt,Volt,Volt
+117.2000E-03,+3.3750000E+00,+1.8000000E+00,+2.0812502E+00
+117.3000E-03,+3.5000000E+00,+2.1750000E+00,+2.6125002E+00
+117.4000E-03,+3.5000000E+00,+2.6750000E+00,+3.1125002E+00
+117.5000E-03,+3.1562500E+00,+3.1750000E+00,+3.5187502E+00
+117.6000E-03,+2.7500000E+00,+3.4562500E+00,+3.6437502E+00
+117.7000E-03,+2.2812500E+00,+3.5500000E+00,+3.6125002E+00
+117.8000E-03,+1.9062500E+00,+3.5187500E+00,+3.2687502E+00
+117.9000E-03,+1.7500000E+00,+3.1750000E+00,+2.8312502E+00
+118.0000E-03,+1.7812500E+00,+2.6750000E+00,+2.3000002E+00
+118.1000E-03,+2.0625000E+00,+2.2062500E+00,+1.8312502E+00
+118.2000E-03,+2.4375000E+00,+1.8625000E+00,+1.5812502E+00
+118.3000E-03,+2.8750000E+00,+1.7062500E+00,+1.6437502E+00
+118.4000E-03,+3.2812500E+00,+1.8000000E+00,+1.9562502E+00
+118.5000E-03,+3.5000000E+00,+2.0500000E+00,+2.4250002E+00
+118.6000E-03,+3.4375000E+00,+2.4875000E+00,+2.9562502E+00
+118.7000E-03,+3.1875000E+00,+2.9562500E+00,+3.3625002E+00
+118.8000E-03,+2.7812500E+00,+3.3625000E+00,+3.6437502E+00
+118.9000E-03,+2.3437500E+00,+3.5187500E+00,+3.5812502E+00
+119.0000E-03,+1.9687500E+00,+3.4875000E+00,+3.3312502E+00
+119.1000E-03,+1.7187500E+00,+3.2062500E+00,+2.8625002E+00
+119.2000E-03,+1.7500000E+00,+2.7687500E+00,+2.3625002E+00
+119.3000E-03,+2.0312500E+00,+2.3000000E+00,+1.9250002E+00
+119.4000E-03,+2.4375000E+00,+1.9562500E+00,+1.6437502E+00
+119.5000E-03,+2.9062500E+00,+1.7375000E+00,+1.7062502E+00
+119.6000E-03,+3.2812500E+00,+1.8000000E+00,+1.9562502E+00
+119.7000E-03,+3.5000000E+00,+2.0500000E+00,+2.3937502E+00
+119.8000E-03,+3.4375000E+00,+2.5187500E+00,+2.8937502E+00
+119.9000E-03,+3.1875000E+00,+2.9562500E+00,+3.3312502E+00
+120.0000E-03,+2.7812500E+00,+3.3312500E+00,+3.5812502E+00
+120.1000E-03,+2.2812500E+00,+3.4875000E+00,+3.5500002E+00
+120.2000E-03,+1.9062500E+00,+3.4250000E+00,+3.3000002E+00
+120.3000E-03,+1.7500000E+00,+3.1750000E+00,+2.8312502E+00
